species,plot,richness,treatment,plantnumber,damage,type,stage,combo
Panvi,1,11,I,1,0,ins,E,IinsE
Panvi,1,11,I,2,0,ins,E,IinsE
Panvi,1,11,I,3,0,ins,E,IinsE
Panvi,1,11,I,4,0,ins,E,IinsE
Panvi,1,11,I,5,0,ins,E,IinsE
Panvi,1,11,I,6,0,ins,E,IinsE
Liaas,2,13,IF,3,8.5,ins,E,IFinsE
Liaas,2,13,IF,4,10,ins,E,IFinsE
Andge,3,14,I,1,0,ins,E,IinsE
Andge,3,14,I,2,0,ins,E,IinsE
Andge,3,14,I,4,0,ins,E,IinsE
Andge,3,14,I,5,0,ins,E,IinsE
Andge,3,14,I,6,0,ins,E,IinsE
Bougr,4,13,I,1,0,ins,E,IinsE
Bougr,4,13,I,2,0.8,ins,E,IinsE
Bougr,4,13,I,4,0.6,ins,E,IinsE
Bougr,4,13,I,5,0,ins,E,IinsE
Bougr,4,13,I,6,0,ins,E,IinsE
Muhra,5,13,I,1,0,ins,E,IinsE
Muhra,5,13,I,2,0.2,ins,E,IinsE
Muhra,5,13,I,3,0,ins,E,IinsE
Muhra,5,13,I,4,0.6,ins,E,IinsE
Muhra,5,13,I,5,0,ins,E,IinsE
Muhra,5,13,I,6,0,ins,E,IinsE
Ascsy,6,9,IF,1,0.5,ins,E,IFinsE
Monfi,7,10,IF,1,2.4,ins,E,IFinsE
Monfi,7,10,IF,2,0,ins,E,IFinsE
Ascsy,8,9,I,1,0.2,ins,E,IinsE
Ascsy,8,9,I,2,0,ins,E,IinsE
Ascsy,8,9,I,3,0,ins,E,IinsE
Panvi,9,12,IF,1,0.75,ins,E,IFinsE
Panvi,9,12,IF,2,0,ins,E,IFinsE
Panvi,9,12,IF,3,0,ins,E,IFinsE
Panvi,9,12,IF,4,0.4,ins,E,IFinsE
Panvi,9,12,IF,5,0,ins,E,IFinsE
Panvi,9,12,IF,6,0,ins,E,IFinsE
Schsc,10,14,C,1,3.75,ins,E,CinsE
Schsc,10,14,C,2,0,ins,E,CinsE
Schsc,10,14,C,3,1.6,ins,E,CinsE
Schsc,10,14,C,4,0,ins,E,CinsE
Schsc,10,14,C,5,0.8,ins,E,CinsE
Schsc,10,14,C,6,0,ins,E,CinsE
Andge,11,14,IF,1,0.2,ins,E,IFinsE
Andge,11,14,IF,2,0,ins,E,IFinsE
Andge,11,14,IF,3,0,ins,E,IFinsE
Andge,11,14,IF,4,0,ins,E,IFinsE
Andge,11,14,IF,5,0,ins,E,IFinsE
Andge,11,14,IF,6,0,ins,E,IFinsE
Muhra,12,12,I,2,0,ins,E,IinsE
Muhra,12,12,I,3,0,ins,E,IinsE
Muhra,12,12,I,4,0.25,ins,E,IinsE
Andge,13,9,IF,1,0,ins,E,IFinsE
Andge,13,9,IF,2,0.4,ins,E,IFinsE
Andge,13,9,IF,3,0,ins,E,IFinsE
Andge,13,9,IF,4,0,ins,E,IFinsE
Andge,13,9,IF,5,0,ins,E,IFinsE
Andge,13,9,IF,6,0,ins,E,IFinsE
Asctu,14,12,C,1,14,ins,E,CinsE
Asctu,14,12,C,3,5,ins,E,CinsE
Asctu,14,12,C,6,1.6,ins,E,CinsE
Sornu,15,12,I,1,0.2,ins,E,IinsE
Sornu,15,12,I,2,0.6,ins,E,IinsE
Sornu,15,12,I,3,0,ins,E,IinsE
Sornu,15,12,I,4,0,ins,E,IinsE
Asctu,16,14,I,1,0.6,ins,E,IinsE
Asctu,16,14,I,2,1,ins,E,IinsE
Asctu,16,14,I,3,1.2,ins,E,IinsE
Asctu,16,14,I,4,1.6,ins,E,IinsE
Asctu,16,14,I,5,0,ins,E,IinsE
Asctu,16,14,I,6,1.4,ins,E,IinsE
Astaz,19,15,C,1,17.4,ins,E,CinsE
Astaz,19,15,C,2,9.4,ins,E,CinsE
Astaz,19,15,C,3,16.2,ins,E,CinsE
Astaz,19,15,C,4,32.6,ins,E,CinsE
Astaz,19,15,C,5,26.25,ins,E,CinsE
Astaz,19,15,C,6,34,ins,E,CinsE
Rudhi,20,12,I,1,1.6,ins,E,IinsE
Rudhi,20,12,I,2,1,ins,E,IinsE
Rudhi,20,12,I,3,3.2,ins,E,IinsE
